Date,Signal,Next Day Open,Close,Cash,Stocks,Equity,Buy & Hold
2020-01-02,0,116.0,115.9,100.0,0.0,100.0,100.0
2020-01-03,0,114.9,114.0,100.0,0.0,100.0,98.36065573770492
2020-01-07,0,112.6,113.4,100.0,0.0,100.0,97.84296807592752
2020-01-08,0,104.0,111.4,100.0,0.0,100.0,96.11734253666954
2020-01-09,0,102.4,101.3,100.0,0.0,100.0,87.40293356341672
2020-01-10,0,98.0,97.05,100.0,0.0,100.0,83.73597929249352
2020-01-13,0,96.5,96.45,100.0,0.0,100.0,83.21829163071614
2020-01-14,0,96.55,96.95,100.0,0.0,100.0,83.64969801553063
2020-01-15,0,98.45,98.05,100.0,0.0,100.0,84.59879206212251
2020-01-16,0,97.0,96.95,100.0,0.0,100.0,83.64969801553063
2020-01-17,0,97.0,96.95,100.0,0.0,100.0,83.64969801553063
2020-01-20,0,95.6,95.5,100.0,0.0,100.0,82.39861949956858
2020-01-21,0,95.9,95.7,100.0,0.0,100.0,82.57118205349438
2020-01-22,0,94.55,94.65,100.0,0.0,100.0,81.66522864538395
2020-01-23,0,91.7,91.75,100.0,0.0,100.0,79.16307161345988
2020-01-24,0,90.5,91.2,100.0,0.0,100.0,78.68852459016394
2020-01-27,0,88.0,87.5,100.0,0.0,100.0,75.49611734253666
2020-01-28,0,88.0,88.0,100.0,0.0,100.0,75.92752372735116
2020-01-29,0,88.4,89.1,100.0,0.0,100.0,76.87661777394304
2020-01-30,0,100.0,100.0,100.0,0.0,100.0,86.28127696289904
2020-01-31,0,96.85,96.95,100.0,0.0,100.0,83.64969801553063
2020-02-03,0,96.1,95.95,100.0,0.0,100.0,82.78688524590163
2020-02-04,0,99.6,99.05,100.0,0.0,100.0,85.4616048317515
2020-02-05,0,97.45,97.05,100.0,0.0,100.0,83.73597929249352
2020-02-06,0,96.8,96.75,100.0,0.0,100.0,83.47713546160483
2020-02-07,0,101.3,101.1,100.0,0.0,100.0,87.23037100949092
2020-02-10,0,104.0,104.0,100.0,0.0,100.0,89.73252804141501
2020-02-11,0,106.2,105.6,100.0,0.0,100.0,91.11302847282138
2020-02-12,0,103.2,103.1,100.0,0.0,100.0,88.95599654874891
2020-02-13,0,103.0,102.3,100.0,0.0,100.0,88.26574633304573
2020-02-14,0,100.0,99.7,100.0,0.0,100.0,86.02243313201035
2020-02-17,0,96.0,96.5,100.0,0.0,100.0,83.26143226919758
2020-02-18,0,97.7,96.65,100.0,0.0,100.0,83.39085418464194
2020-02-19,0,96.0,96.0,100.0,0.0,100.0,82.83002588438308
2020-02-20,0,93.95,94.0,100.0,0.0,100.0,81.1044003451251
2020-02-21,0,91.9,93.05,100.0,0.0,100.0,80.28472821397756
2020-02-24,0,88.0,88.25,100.0,0.0,100.0,76.1432269197584
2020-02-25,0,81.55,82.15,100.0,0.0,100.0,70.88006902502157
2020-02-26,0,83.15,83.55,100.0,0.0,100.0,72.08800690250214
2020-02-27,0,75.0,79.0,100.0,0.0,100.0,68.16220880069025
2020-02-28,0,74.95,71.95,100.0,0.0,100.0,62.07937877480587
2020-03-02,0,72.85,71.75,100.0,0.0,100.0,61.90681622088007
2020-03-03,0,77.6,78.2,100.0,0.0,100.0,67.47195858498705
2020-03-04,0,78.5,76.7,100.0,0.0,100.0,66.17773943054357
2020-03-05,0,72.9,74.4,100.0,0.0,100.0,64.1932700603969
2020-03-06,0,68.35,72.3,100.0,0.0,100.0,62.38136324417601
2020-03-09,0,65.0,64.0,100.0,0.0,100.0,55.22001725625539
2020-03-10,0,63.2,63.0,100.0,0.0,100.0,54.3572044866264
2020-03-11,0,47.4,54.05,100.0,0.0,100.0,46.635030198446934
2020-03-12,0,40.5,42.66,100.0,0.0,100.0,36.80759275237273
2020-03-13,0,35.0,37.98,100.0,0.0,100.0,32.769628990509055
2020-03-16,0,30.98,29.0,100.0,0.0,100.0,25.021570319240723
2020-03-17,0,26.84,26.6,100.0,0.0,100.0,22.950819672131146
2020-03-18,0,26.0,24.98,100.0,0.0,100.0,21.553062985332183
2020-03-19,0,32.22,29.6,100.0,0.0,100.0,25.539257981018118
2020-03-20,0,31.98,32.68,100.0,0.0,100.0,28.196721311475407
2020-03-23,0,32.38,29.7,100.0,0.0,100.0,25.625539257981014
2020-03-24,0,30.0,29.06,100.0,0.0,100.0,25.07333908541846
2020-03-25,0,28.0,28.6,100.0,0.0,100.0,24.67644521138913
2020-03-26,0,29.2,29.36,100.0,0.0,100.0,25.332182916307158
2020-03-27,0,29.5,29.8,100.0,0.0,100.0,25.711820534943914
2020-03-30,0,30.1,29.78,100.0,0.0,100.0,25.694564279551336
2020-03-31,0,30.24,29.98,100.0,0.0,100.0,25.867126833477133
2020-04-01,0,29.98,30.76,100.0,0.0,100.0,26.540120793787747
2020-04-02,0,29.09,29.13,100.0,0.0,100.0,25.133735979292492
2020-04-03,0,29.7,28.9,100.0,0.0,100.0,24.935289042277823
2020-04-06,-1,35.4,33.19,100.0,0.0,100.0,28.636755823986192
2020-04-07,0,33.5,33.2,100.0,0.0,100.0,28.645383951682486
2020-04-08,0,34.5,33.28,100.0,0.0,100.0,28.7144089732528
